,X_low_variance,X_RFE,X_PCA,X_tree,X_univariate,X
Linear Regression,0.108256774237,0.00576571523253,0.0955722073748,0.0803389882412,0.11643274281,0.0212176049425
Logistic Regression,0.142553945245,0.0246056959031,0.125447311801,0.0508566123532,0.0723809178903,0.0801578708436
KNN,0.0300298717273,0.0314883148831,0.0798956609324,0.0679415168536,0.0718824035531,0.0715144602185
Random Forest,0.0440473145042,0.0314883148831,0.103159024137,0.0620471509997,0.0186998224662,0.0606747494182
Extra Tree Classifier,0.0190764743252,0.0492223050309,0.100202602835,0.0423233281457,0.0521779700556,0.0800104823708
Decision Tree Classifier,0.0414611833939,0.00197044334975,0.0970239587193,0.0108350132626,0.0275668175401,0.00369412656309
AdaBoost Classifier,0.149594323393,0.030650179002,0.160630280209,0.0891212785603,0.121729101979,0.0729557846234
