,X_low_variance,X_RFE,X_PCA,X_tree,X_univariate,X
Linear Regression,3.68161520754e+19,0.0154587684351,0.103915959748,0.163338710255,0.0288608283441,0.0212176049425
Logistic Regression,0.110905221097,0.00960538082607,0.10957189867,0.114752266947,0.114137715608,0.0801578708436
KNN,0.0598134380359,0.0314883148831,0.0771809995493,0.0466398086793,0.0462787583541,0.0715144602185
Random Forest,0.0556258669862,0.0157441574416,0.118674675123,0.0451946191739,0.0477444725186,0.0606747494182
Extra Tree Classifier,0.0536558025679,0.0157441574416,0.079886723278,0.0590720966187,0.0482443543647,0.0800104823708
Decision Tree Classifier,0.0689267385285,0.0177339901478,0.123715452618,0.0521755448945,0.0118226600985,0.00369412656309
AdaBoost Classifier,0.093541445635,0.030650179002,0.160630280209,0.0658454164913,0.067793592377,0.0729557846234
